Id	Description	Qty	Unit	Designators
1	Cable, 1 wires	0	m	Ethernet_cable1, Ethernet_cable2, HDMI_cable, Radar_Ethernet_cable, USB_cable, USB_host_cable, gpio_wires, i2c_wires, keyboard_cable, mouse_cable, usb_cable, usb_cable_to_AIS, usb_gps_cable
2	Connector	13		AIS, Ethernet_Switch, GPS_usb, IMU, NMEA_Mux, PyPilot_Motor_Controller, Radar, Router, keyboard, mouse, pi4, touchscreen, usb_hub
